Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor;newUF
NE;CE;Fortaleza;F;entre 21 a 30 anos;2014;12;30/12/2014;09/01/2015;30/01/2015;10;Casas Bahia;Varejo;Produtos Eletrodomésticos e Eletrônicos;Ar condicionado e aquecedor;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Ceará
NE;BA;Inhambupe;F;mais de 70 anos;2014;12;03/12/2014;12/12/2014;02/01/2015;9;Walmart.com;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Bahia
NE;PE;Recife;M;entre 21 a 30 anos;2014;12;21/12/2014;31/12/2014;05/01/2015;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Contrato / Oferta;Dificuldade para contratar / recusa injustificada;Loja física;S;S;Finalizada avaliada;Não Resolvida;1;Pernambuco
SE;RJ;Rio de Janeiro;F;entre 51 a 60 anos;2014;12;21/12/2014;30/12/2014;20/01/2015;9;Brastemp;Fabricantes - Linha Branca;Produtos Eletrodomésticos e Eletrônicos;Lavadora de roupa, louça e secadora;Vício de Qualidade;Falta de peça de reposição;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Rio de Janeiro
SE;ES;Serra;M;entre 41 a 50 anos;2014;12;16/12/2014;18/12/2014;08/01/2015;2;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Espírito Santo
CO;MS;Corumbá;M;entre 41 a 50 anos;2014;12;16/12/2014;23/12/2014;04/01/2015;7;BV Financeira;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Cobrança / Contestação;Dificuldade na Renegociação / parcelamento de dívida;Loja física;S;S;Finalizada avaliada;Não Resolvida;3;Mato Grosso do Sul
S ;PR;Curitiba;M;entre 31 a 40 anos;2014;12;09/12/2014;17/12/2014;07/01/2015;8;KaBuM!;Comércio Eletrônico;Produtos de Telefonia e Informática;Acessórios e periféricos ( monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc);Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Paraná
SE;SP;Piracicaba;M;entre 61 a 70 anos;2014;12;18/12/2014;26/12/2014;16/01/2015;8;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Atendimento / SAC;SAC - Dificuldade para cancelar o serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;São Paulo
SE;MG;Juiz de Fora;M;entre 31 a 40 anos;2014;12;18/12/2014;26/12/2014;16/01/2015;8;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Catálogo;S;S;Finalizada não avaliada;Não Avaliada;;Minas Gerais
SE;MG;Juiz de Fora;M;entre 21 a 30 anos;2014;12;31/12/2014;07/01/2015;07/01/2015;7;Banco Itaú Unibanco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Loja física;S;S;Finalizada avaliada;Não Resolvida;1;Minas Gerais
SE;ES;Cariacica;F;entre 21 a 30 anos;2014;12;31/12/2014;08/01/2015;08/01/2015;8;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Vício de Qualidade;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;5;Espírito Santo
NE;PB;João Pessoa;F;entre 21 a 30 anos;2014;12;31/12/2014;10/01/2015;26/01/2015;10;Oi Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Informação;Informações incompletas / inadequadas sobre o produto (na oferta ou no manual);Ganhei de presente;S;S;Finalizada avaliada;Não Resolvida;5;Paraíba
SE;SP;Mauá;F;entre 31 a 40 anos;2014;12;12/12/2014;22/12/2014;09/01/2015;10;Banco Itaú Unibanco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;2;São Paulo
CO;GO;Nerópolis;M;entre 21 a 30 anos;2014;12;21/12/2014;23/12/2014;13/01/2015;2;Novo Mundo;Varejo;Produtos Eletrodomésticos e Eletrônicos;Fogão, microondas, forno elétrico, depurador de ar e coifa;Vício de Qualidade;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Goiás
NE;PB;João Pessoa;F;entre 21 a 30 anos;2014;12;21/12/2014;31/12/2014;07/01/2015;10;Banco do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;2;Paraíba
SE;SP;Pereira Barreto;F;entre 41 a 50 anos;2014;12;17/12/2014;22/12/2014;12/01/2015;5;Shoptime;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;;São Paulo
S ;RS;Uruguaiana;M;entre 31 a 40 anos;2014;12;17/12/2014;26/12/2014;16/01/2015;9;Lojas Colombo.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Lavadora de roupa, louça e secadora;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Rio Grande do Sul
NE;BA;Camaçari;F;entre 41 a 50 anos;2014;12;09/12/2014;19/12/2014;09/01/2015;10;Itauleasing;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Cobrança / Contestação;Dificuldade na Renegociação / parcelamento de dívida;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Bahia
NE;BA;Barreiras;M;entre 21 a 30 anos;2014;12;09/12/2014;19/12/2014;09/01/2015;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Bahia
SE;SP;São Paulo;M;entre 21 a 30 anos;2014;12;18/12/2014;26/12/2014;15/01/2015;8;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Cobrança / Contestação;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Telefone;S;S;Finalizada avaliada;Resolvida;5;São Paulo
NE;CE;Fortaleza;M;entre 51 a 60 anos;2014;12;17/12/2014;19/12/2014;09/01/2015;2;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos de Telefonia e Informática;Aparelho celular;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Ceará
NE;BA;Salvador;F;entre 21 a 30 anos;2014;12;09/12/2014;19/12/2014;09/01/2015;10;KaBuM!;Comércio Eletrônico;Produtos de Telefonia e Informática;Acessórios e periféricos ( monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Bahia
NE;PB;João Pessoa;F;entre 21 a 30 anos;2014;12;31/12/2014;10/01/2015;26/01/2015;10;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Informação;Informações incompletas / inadequadas sobre o serviço, plano, promoção etc;Ganhei de presente;S;S;Finalizada avaliada;Não Resolvida;1;Paraíba
N ;AC;Rio Branco;M;entre 21 a 30 anos;2014;12;31/12/2014;08/01/2015;09/01/2015;8;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Negativação indevida;Não comprei / contratei;N;S;Finalizada avaliada;Resolvida;5;Acre
S ;RS;Sapucaia do Sul;M;entre 51 a 60 anos;2014;12;31/12/2014;05/01/2015;22/01/2015;5;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos Eletrodomésticos e Eletrônicos;Televisão;Atendimento / SAC;Má qualidade no atendimento (descortesia / despreparo/ constrangimento);Loja física;S;S;Finalizada avaliada;Não Resolvida;2;Rio Grande do Sul
NE;PE;Jaboatão dos Guararapes;M;entre 21 a 30 anos;2014;12;22/12/2014;31/12/2014;17/01/2015;9;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Contrato / Oferta;Dificuldade para contratar / recusa injustificada;Loja física;S;S;Finalizada avaliada;Resolvida;1;Pernambuco
NE;PB;João Pessoa;M;entre 41 a 50 anos;2014;12;17/12/2014;23/12/2014;10/01/2015;6;AOC;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos Eletrodomésticos e Eletrônicos;Televisão;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Loja física;S;S;Finalizada avaliada;Não Resolvida;3;Paraíba
SE;MG;Pescador;M;entre 21 a 30 anos;2014;12;10/12/2014;12/12/2014;02/01/2015;2;Magazineluiza.com;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Minas Gerais
SE;SP;Assis;M;entre 31 a 40 anos;2014;12;10/12/2014;19/12/2014;08/01/2015;9;Itauleasing;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Demais Empréstimos e Financiamentos (exceto imóveis e veículos);Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1;São Paulo
NE;CE;Fortaleza;M;entre 21 a 30 anos;2014;12;17/12/2014;18/12/2014;05/01/2015;1;Ativos S.A;Empresas de Recuperação de Crédito;Serviços Financeiros;Demais Empréstimos e Financiamentos (exceto imóveis e veículos);Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Telefone;S;S;Finalizada avaliada;Resolvida;1;Ceará
S ;RS;Canoas;F;entre 61 a 70 anos;2014;12;09/12/2014;19/12/2014;09/01/2015;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Rio Grande do Sul
S ;SC;Joinville;M;entre 21 a 30 anos;2014;12;31/12/2014;09/01/2015;09/01/2015;9;HSBC;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Saúde e Segurança;Risco, dano físico ou mal estar decorrente da prestação do serviço/utilização do produto;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;5;Santa Catarina
CO;DF;Brasília;M;entre 41 a 50 anos;2014;12;31/12/2014;10/01/2015;29/01/2015;10;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada avaliada;Resolvida;5;Distrito Federal
SE;SP;Paulínia;M;entre 41 a 50 anos;2014;12;31/12/2014;09/01/2015;27/01/2015;9;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Atendimento / SAC;SAC - Dificuldade para cancelar o serviço;Telefone;S;S;Finalizada avaliada;Resolvida;4;São Paulo
N ;AC;Rio Branco;F;mais de 70 anos;2014;12;04/12/2014;13/12/2014;03/01/2015;9;Oi Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Contrato / Oferta;Alteração de plano/contrato sem solicitação ou aviso prévio;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Acre
SE;MG;Belo Horizonte;M;entre 31 a 40 anos;2014;12;30/12/2014;07/01/2015;25/01/2015;8;Pontofrio.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Ar condicionado e aquecedor;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Não Resolvida;1;Minas Gerais
NE;BA;Barreiras;F;entre 31 a 40 anos;2014;12;30/12/2014;07/01/2015;28/01/2015;8;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Bahia
SE;RJ;Rio de Janeiro;F;entre 31 a 40 anos;2014;12;16/12/2014;26/12/2014;13/01/2015;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Atendimento / SAC;Má qualidade no atendimento (descortesia / despreparo/ constrangimento);Telefone;S;S;Finalizada avaliada;Não Resolvida;2;Rio de Janeiro
NE;BA;Salvador;M;entre 31 a 40 anos;2014;12;04/12/2014;13/12/2014;03/01/2015;9;Casas Bahia;Varejo;Produtos Eletrodomésticos e Eletrônicos;Televisão;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Bahia
SE;MG;Belo Horizonte;M;entre 31 a 40 anos;2014;12;17/12/2014;27/12/2014;17/01/2015;10;Gol Linhas Aéreas;Transporte Aéreo;Transportes;Aéreo;Vício de Qualidade;Extravio/ avaria de bagagem, carga, correspondência;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Minas Gerais
NE;PE;Recife;M;entre 61 a 70 anos;2014;12;17/12/2014;23/12/2014;04/01/2015;6;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos Eletrodomésticos e Eletrônicos;Televisão;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Finalizada avaliada;Resolvida;4;Pernambuco
S ;PR;Carambeí;M;entre 31 a 40 anos;2014;12;10/12/2014;18/12/2014;08/01/2015;8;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Vício de Qualidade;Dificuldade para alterar/ ativar serviços;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Paraná
SE;ES;Vila Velha;M;entre 31 a 40 anos;2014;12;17/12/2014;27/12/2014;15/01/2015;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;S;S;Finalizada avaliada;Não Resolvida;3;Espírito Santo
SE;SP;Mogi das Cruzes;M;entre 31 a 40 anos;2014;12;25/12/2014;30/12/2014;20/01/2015;5;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Domicílio;N;S;Finalizada não avaliada;Não Avaliada;;São Paulo
S ;PR;Curitiba;F;entre 41 a 50 anos;2014;12;27/12/2014;30/12/2014;20/01/2015;3;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Paraná
NE;CE;Fortaleza;M;entre 41 a 50 anos;2014;12;15/12/2014;23/12/2014;13/01/2015;8;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos Eletrodomésticos e Eletrônicos;Televisão;Vício de Qualidade;Falta de peça de reposição;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Ceará
NE;CE;Missão Velha;M;entre 31 a 40 anos;2014;12;09/12/2014;19/12/2014;09/01/2015;10;Ricardo Eletro.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Televisão;Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Ceará
SE;MG;Santa Luzia;M;entre 61 a 70 anos;2014;12;10/12/2014;20/12/2014;10/01/2015;10;Oi Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Internet;S;S;Finalizada não avaliada;Não Avaliada;;Minas Gerais
NE;BA;Coribe;M;entre 21 a 30 anos;2014;12;05/12/2014;11/12/2014;01/01/2015;6;Banco do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Contrato / Oferta;Dificuldade para contratar / recusa injustificada;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Bahia
S ;PR;Lapa;M;entre 21 a 30 anos;2014;12;31/12/2014;09/01/2015;30/01/2015;9;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Cobrança / Contestação;Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Paraná
SE;SP;Ribeirão Preto;M;entre 31 a 40 anos;2014;12;31/12/2014;09/01/2015;30/01/2015;9;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho de telefone fixo / interfone;Cobrança / Contestação;Negativação indevida;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;São Paulo
S ;PR;Uraí;M;entre 31 a 40 anos;2014;12;31/12/2014;05/01/2015;26/01/2015;5;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Paraná
S ;PR;Paranaguá;M;entre 21 a 30 anos;2014;12;12/12/2014;20/12/2014;10/01/2015;8;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Paraná
S ;PR;São José dos Pinhais;F;entre 51 a 60 anos;2014;12;12/12/2014;22/12/2014;12/01/2015;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Paraná
SE;ES;São Mateus;M;entre 21 a 30 anos;2014;12;27/12/2014;05/01/2015;05/01/2015;9;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada avaliada;Resolvida;2;Espírito Santo
NE;CE;Fortaleza;F;entre 41 a 50 anos;2014;12;27/12/2014;06/01/2015;14/01/2015;10;Casas Bahia;Varejo;Demais Produtos;Móveis e Colchões;Entrega do Produto;Demora na montagem / montagem incorreta / incompleta;Loja física;S;S;Finalizada avaliada;Não Resolvida;1;Ceará
CO;DF;Brasília;F;entre 21 a 30 anos;2014;12;02/12/2014;12/12/2014;02/01/2015;10;Casasbahia.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Refrigerador / freezer;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Distrito Federal
SE;MG;Conselheiro Lafaiete;F;entre 31 a 40 anos;2014;12;16/12/2014;26/12/2014;13/01/2015;10;Casas Bahia;Varejo;Demais Produtos;Móveis e Colchões;Vício de Qualidade;Falta de peça de reposição;Loja física;S;S;Finalizada avaliada;Não Resolvida;1;Minas Gerais
SE;ES;Vitória;M;entre 21 a 30 anos;2014;12;16/12/2014;23/12/2014;13/01/2015;7;Itaucard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Espírito Santo
SE;RJ;Rio de Janeiro;F;entre 41 a 50 anos;2014;12;16/12/2014;24/12/2014;14/01/2015;8;Pontofrio.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, etc );Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Rio de Janeiro
CO;MT;Cuiabá;F;entre 41 a 50 anos;2014;12;02/12/2014;11/12/2014;01/01/2015;9;Serasa Experian ;Bancos de Dados e Cadastros de Consumidores;Serviços Financeiros;Banco de dados;Informação;Dados pessoais ou financeiros consultados, coletados, publicados ou repassados sem autorização;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Mato Grosso
CO;MT;Pontes e Lacerda;F;entre 41 a 50 anos;2014;12;05/12/2014;15/12/2014;05/01/2015;10;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Vício de Qualidade;Dificuldade de pagamento, saque, depósito, transferência;Domicílio;S;S;Finalizada não avaliada;Não Avaliada;;Mato Grosso
S ;SC;Novo Horizonte;M;entre 41 a 50 anos;2014;12;09/12/2014;19/12/2014;02/01/2015;10;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Telefone;S;S;Finalizada avaliada;Não Resolvida;1;Santa Catarina
S ;RS;Viamão;M;entre 21 a 30 anos;2014;12;03/12/2014;13/12/2014;03/01/2015;10;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Rio Grande do Sul
S ;PR;Curitiba;M;entre 21 a 30 anos;2014;12;04/12/2014;11/12/2014;01/01/2015;7;GVT;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Paraná
SE;SP;São Paulo;M;entre 31 a 40 anos;2014;12;28/12/2014;07/01/2015;08/01/2015;10;Extra.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, etc );Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada avaliada;Resolvida;1;São Paulo
NE;AL;Maceió;M;entre 21 a 30 anos;2014;12;28/12/2014;06/01/2015;27/01/2015;9;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Alagoas
SE;SP;Praia Grande;F;entre 41 a 50 anos;2014;12;16/12/2014;24/12/2014;12/01/2015;8;Extra.com;Comércio Eletrônico;Produtos de Telefonia e Informática;Tablet;Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada avaliada;Não Resolvida;3;São Paulo
SE;RJ;Belford Roxo;M;entre 21 a 30 anos;2014;12;16/12/2014;20/12/2014;10/01/2015;4;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Rio de Janeiro
SE;SP;Aparecida;M;entre 31 a 40 anos;2014;12;16/12/2014;20/12/2014;10/01/2015;4;Itaucard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Demais Empréstimos e Financiamentos (exceto imóveis e veículos);Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;São Paulo
S ;PR;Paranaguá;M;entre 31 a 40 anos;2014;12;02/12/2014;12/12/2014;02/01/2015;10;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Atendimento / SAC;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento);Stand, feiras e eventos;S;S;Finalizada não avaliada;Não Avaliada;;Paraná
NE;BA;Vitória da Conquista;M;entre 21 a 30 anos;2014;12;06/12/2014;11/12/2014;01/01/2015;5;Casas Bahia;Varejo;Produtos Eletrodomésticos e Eletrônicos;Televisão;Entrega do Produto;Produto entregue incompleto / diferente do  pedido;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Bahia
SE;MG;Lambari;M;mais de 70 anos;2014;12;13/12/2014;23/12/2014;13/01/2015;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Serviços Financeiros;Seguro Habitacional / Residencial;Cobrança / Contestação;Cobrança submetendo a ofensa, constrangimento ou ameaça;Internet;N;S;Finalizada não avaliada;Não Avaliada;;Minas Gerais
